Source,Author,Title,Description,URL,Published At,Content
Yahoo.com,NaN, Terminator: Dark Fate  Powers to $2.35 Million at Thursday Box Office - Yahoo News Canada, Terminator: Dark Fate  Powers to $2.35 Million at Thursday Box Office Yahoo News Canada Katherine Schwarzenegger cried while watching dad in 'Terminator: Dark Fate' CANOE Tim Miller Thinks There's a Simple Reason Why Other Terminator Sequels Weren't as Good  ,https://ca.news.yahoo.com/terminator-dark-fate-powers-2-151538397.html,2019-11-01T15:15:00Z,"Terminator: Dark Fate, the latest sequel to the Terminator franchise that brought back the original stars Linda Hamilton and Arnold Schwarzenegger, made $2.35 million in previews on Thursday night. It opens on approximately 4,000 screens this weekend.;As Nov  [+3453 chars]"
Huffingtonpost.ca,Premila D'Sa,Conservatives Vote Against Power To Quickly Boot Scheer As Leader - HuffPost Canada,Conservatives Vote Against Power To Quickly Boot Scheer As Leader HuffPost Canada Scheer survives critical test as Conservative MPs vote against giving themselves power to oust party leader The Globe and Mail Pressure mounts on Scheer   new poll shows 42 per  ,https://www.huffingtonpost.ca/entry/scheer-conservative-vote-leadership_ca_5dc34809e4b00551388244fb,2019-11-06T23:06:32Z,"OTTAWA   Andrew Scheer emerged from a marathon caucus meeting Wednesday, declaring that Conservative MPs are united behind his leadership after they declined to give themselves the power to boot the leader out.;Scheer s leadership will still, however, face a  [+4809 chars]"
Reddeeradvocate.com,The Canadian Press,"Surgical objects left in patients on the rise in Canada, data shows - Red Deer Advocate","<p>TORONTO   More than 550 objects have been unintentionally left in Canadian medical and surgery patients between 2016 and 2018, and the problem appears to be getting worse.</p>",https://www.reddeeradvocate.com/life/surgical-objects-left-in-patients-on-the-rise-in-canada-data-shows/,2019-11-07T22:04:00Z,"TORONTO   More than 550 objects have been unintentionally left in Canadian medical and surgery patients between 2016 and 2018, and the problem appears to be getting worse.;A new report released Thursday by the Canadian Institute for Health Information says 5  [+5099 chars]"
Yahoo.com,NaN,TC Energy Corp. expects annual dividend growth to slow beyond 2021 - Yahoo Canada Finance,"CALGARY   TC Energy Corp. is looking at ""optimizing"" unaffected parts of its Keystone pipeline and will use drag reducing agents to ease volume losses following a spill in North Dakota, Paul Miller, vice-president of liquids pipelines, reported Tuesday.The pi ",https://ca.finance.yahoo.com/news/tc-energy-corp-expects-annual-130112423.html,2019-11-19T13:01:00Z,"CALGARY TC Energy Corp. is looking at ""optimizing"" unaffected parts of its Keystone pipeline and will use drag reducing agents to ease volume losses following a spill in North Dakota, Paul Miller, vice-president of liquids pipelines, reported Tuesday.;The pi  [+3144 chars]"
Dailyhive.com,Ainsley Smith,Motorola's revamped razr will be available in Canada next year | Venture - Daily Hive,Motorola's revamped razr will be available in Canada next year | Venture Daily Hive Motorola Razr vs. Galaxy Fold: The foldable phone war is on CNET Motorola Razr 2019 screen repair price is surprisingly low SlashGear Hands-on video of Samsung s upcoming fold ,https://dailyhive.com/vancouver/motorola-razr-canada-2020,2019-11-18T16:11:00Z,"Get ready for a blast from the past: Motorola is reviving its popular razr flip phone and it will be available in Canada starting early next year.;Motorola has reinvented its beloved razr, which was wildly popular in the mid-2000s, as a smartphone with multi  [+1866 chars]"
Yahoo.com,NaN,Prince Andrew's Office Has Been Moved Out of Buckingham Palace: Report - Yahoo News Canada,Prince Andrew's Office Has Been Moved Out of Buckingham Palace: Report Yahoo News Canada Sarah Ferguson: What Fergie advised Prince Andrew ahead of doomed BBC interview Express Who is Amanda Thirsk? Prince Andrew s private secretary who was sacked by The Quee ,https://ca.news.yahoo.com/prince-andrews-office-moved-buckingham-000233881.html,2019-11-23T00:33:52Z,"In the latest news from the fallout following Prince Andrews interview concerning his ties to Jeffrey Epstein and his subsequent announcement to step down from royal duties, the Duke of Yorks office has been forced out of Buckingham Palace.;Queen Elizabeths   [+3913 chars]"
Huffingtonpost.ca,Emma Paling,Doug Ford Says He's 'So Proud' Of Green Energy Cancellations That Cost $231M - HuffPost Canada,Doug Ford Says He's 'So Proud' Of Green Energy Cancellations That Cost $231M HuffPost Canada ANALYSIS: Doug Ford attempts political makeover Global News Ford stresses national unity after Trudeau meeting Toronto Sun Ford presses 'critical' need for national u ,https://www.huffingtonpost.ca/entry/doug-ford-so-proud-green-energy-contracts_ca_5dd6bb50e4b010f3f1d44fa1,2019-11-21T16:47:43Z,"TORONTO   Ontario Premier Doug Ford says $231 million to cancel green energy contracts is not a waste of taxpayers  money.; I am so proud of that,  Ford told reporters outside his Queen s Park office Thursday. ; They went into communities without their appr  [+1568 chars]"
Heraldpublicist.com,NaN,BRAUN: Canada has left Cystic Fibrosis patients in the lurch. - Herald Publicist,"Greater than 18 months in the past we wrote about Victoria Vigneau, a Canadian teenager with Cystic Fibrosis.Like different Canadians with CF, Victoria is aware",https://heraldpublicist.com/braun-canada-has-left-cystic-fibrosis-patients-in-the-lurch/,2019-11-24T11:42:00Z,"Greater than 18 months in the past we wrote about Victoria Vigneau, a Canadian teenager with Cystic Fibrosis.;Like different Canadians with CF, Victoria is aware of there are medication that can save her life medication she can t get.;Orkambi, a gene-alteri  [+4383 chars]"
Business Insider,Sin ad Baker,An Air Canada Boeing 787 flying across the Atlantic was forced to turn back after its windscreen cracked in mid-air,"An Air Canada Boeing 787-8 flight had to turn round mid-flight after the crew spotted a crack in the windshield. Flight AC857 was due to fly from London to Toronto but was forced to land in Dublin, Ireland because of the incident. The flight had already flown ",https://www.businessinsider.com/air-canada-boeing-787-forced-land-windshield-cracked-2019-11,2019-11-26T10:23:39Z,"An Air Canada Boeing 787 plane that was flying across the Atlantic from London to Toronto had to land in Dublin after its windscreen cracked mid-flight.;Flight AC 857 had already flown past Ireland and was around one hour into the flight on Saturday when cre  [+1727 chars]"
Ctvnews.ca,The Canadian Press,Disney Plus streaming service arrives in Canada with a few technical hurdles - CTV News,Disney Plus streaming service arrives in Canada with a few technical hurdles CTV News 4 things to know about the new streaming service Disney Plus CBC.ca Is Disney+ Worth It? A Guide to the New Streaming Service Collider.com The Mandalorian | Special Look | D ,https://www.ctvnews.ca/entertainment/disney-plus-streaming-service-arrives-in-canada-with-a-few-technical-hurdles-1.4681556,2019-11-12T15:58:00Z,"TORONTO -- Disney Plus has arrived in Canada, becoming the newest player in the growing menu of TV options, but some users say they've encountered technical problems trying to access the streaming platform.;A number of Canadians took to social media on Tuesd  [+2422 chars]"
TechCrunch,Josh Constine,Instagram to test hiding Like counts in the US next week," We will make decisions that hurt the business if they help people s well-being and health  says Instagram s CEO Adam Mosseri. To that end, next week Instagram will expand its test of hiding Like counts from everyone but a post s creator to the United States. ",http://techcrunch.com/2019/11/08/instagram-hide-likes-us/,2019-11-09T00:25:57Z," We will make decisions that hurt the business if they help people s well-being and health  says Instagram s CEO Adam Mosseri. To that end, next week Instagram will expand its test of hiding Like counts from everyone but a post s creator to the United States.  [+1670 chars]"
Huffingtonpost.ca,Jon Rumley,1 In 3 Canadians Voted Strategically In Federal Election: Poll - HuffPost Canada,"1 In 3 Canadians Voted Strategically In Federal Election: Poll HuffPost Canada Pipelines and politics: Where do the parties meet? The Globe and Mail This week in Alberta politics: Budget fallout, federal election venting, Harper and Chr tien talk federalism T ",https://www.huffingtonpost.ca/entry/strategic-polling-leger-poll-canada_ca_5db81b63e4b02aee7d3616ad,2019-10-29T11:28:10Z,"A voter casts a ballot in the 2011 federal election in Toronto on May 2, 2011. A new poll suggests 10 per cent of voters in the 2019 election waited until the last minute to decide who to vote for.;OTTAWA More than one-third of Canadians voted strategically   [+4773 chars]"
Yahoo.com,NaN,'It saved my life': Comedian pushes province to fund sleep apnea treatment - Yahoo News Canada,"After decades of struggling with chronic fatigue and serious health issues, comedian and actor Anthony Kavanagh was finally diagnosed with sleep apnea and able to access treatment that dramatically improved his quality of life.Now a spokesperson for the Quebe ",https://ca.news.yahoo.com/saved-life-comedian-pushes-province-080000400.html,2019-10-28T08:00:00Z,"After decades of struggling with chronic fatigue and serious health issues, comedian and actor Anthony Kavanagh was finally diagnosed with sleep apnea and able to access treatment that dramatically improved his quality of life.;Now a spokesperson for the Que  [+3935 chars]"
Business Insider,Clarrie Feinstein,What I learned as a Canadian reporting on healthcare in America   and what Americans can learn from Canada,"I began reporting on healthcare at Business Insider six months go. As a Canadian reporting on healthcare in the US, I've gained insight into the complicated and often misunderstood debate in the US over single-payer healthcare. Since my arrival to the US, I h ",https://www.businessinsider.com/american-misconceptions-about-canadian-healthcare-2019-11,2019-11-22T14:44:00Z,"Growing up in Canada I never thought much about the healthcare system. When I moved to the US for graduate school, I knew it was strange to not have universal healthcare, but I had a comprehensive health insurance plan from school, so healthcare wasn't an eve  [+5550 chars]"
Wired,Matt Simon,"How the Climate Crisis Is Killing Us, in 9 Alarming Charts",A new report from over 100 experts paints a devastating picture of how climate change is already imperiling human health.,https://www.wired.com/story/how-the-climate-crisis-is-killing-us/,2019-11-13T23:30:00Z,"Maybe you live in Ohio, far away from rising seas. Maybe you live in Canada, nowhere near a blazing desert. You might think climate change isnt your problem, at least not yet. But maybe today we can change your mind.;The medical journal The Lancet just relea  [+2472 chars]"
The New York Times,Elian Peltier,"U.K. Halts Fracking in England, Citing Quake Concerns","Boris Johnson s government, which is preparing for a general election, said the ban would be in place until there was  compelling new evidence  that it could be carried out safely.",https://www.nytimes.com/2019/11/02/world/europe/uk-fracking.html,2019-11-02T14:18:29Z,"On Twitter, his co-leader, Sian Berry, wrote: Banning fracking is for life, not just for Christmas.;The leader of the opposition Labour Party, Jeremy Corbyn, tweeted on Saturday that the government moratorium was only a temporary pause and an election stunt   [+904 chars]"
The New York Times,Farah Nayeri,Is It Time Gauguin Got Canceled?,Museums are reassessing the legacy of an artist who had sex with teenage girls and called the Polynesian people he painted  savages. ,https://www.nytimes.com/2019/11/18/arts/design/gauguin-national-gallery-london.html,2019-11-18T18:31:09Z,"Mr. Riopelle described Gauguin as a very complicated person, a very driven person, a very callous person, and said he was disappointed that his overwhelming urge to make art led him to hurt or use so many people badly.;The show was co-produced with the Natio  [+1113 chars]"
Gizmodo.com,George Dvorsky,Doctors Report First Documented Case of  Popcorn Lung  From Vaping,"A Canadian teenager developed a life-threatening condition known as  popcorn lung  after several months of intense vaping, in the first medical case linking this chronic lung disease to e-cigarette use. Read more...",https://gizmodo.com/doctors-report-first-documented-case-of-popcorn-lung-1839998375,2019-11-22T16:25:00Z,"A Canadian teenager developed a life-threatening condition known as popcorn lung after several months of intense vaping, in the first medical case linking this chronic lung disease to e-cigarette use.;Popcorn lung or popcorn workers lung is so called because  [+4476 chars]"
The Globe And Mail,NaN,Refugee advocates set to challenge Canada's border pact with U.S. in Federal Court - The Globe and Mail,Groups say asylum seekers should be given protections at official border crossings because the U.S. under Donald Trump is no longer a safe country for refugees,https://www.theglobeandmail.com/politics/article-canada-refugees-asylum-seekers-us-border-court-challenge/,2019-11-03T23:43:31Z,"An asylum seeker is confronted by an RCMP officer as he crosses the border into Canada from the United States near Champlain, N.Y., on Aug. 21, 2017. Earlier that year, the Canada-U.S. Safe Third Country Agreement started making headlines when a loophole in t  [+5262 chars]"
Bnnbloomberg.ca,BNN Bloomberg,Encana's move won't trigger stampede into US: Vermilion CEO - BNNBloomberg.ca,Encana's move won't trigger stampede into US: Vermilion CEO BNNBloomberg.ca Encana declaring itself American is a gut punch for Alberta CBC.ca 'A tragedy for Canada': Encana shift to U.S. seen as another blow to morale in Alberta Calgary Herald Encana sheds C ,http://www.bnnbloomberg.ca/encana-s-move-won-t-trigger-stampede-into-u-s-vermilion-ceo-1.1341324,2019-11-01T11:22:08Z,"Its not likely that other major Canadian energy companies will follow Encana Corp.s footsteps to re-domicile in the United States, according to the chief executive of Vermilion Energy Inc.  ;I cannot really think of [another] significant Canadian company tha  [+1633 chars]"
The Next Web,Matthew Beedham,Big Canadian bank quashes cryptocurrency exchange rumors,"The Royal Bank of Canada has quashed rumors that it s creating a cryptocurrency exchange or platform Last week, a local Canadian news outlet   The Logic   reported that The Royal Bank of Canada (RBC) was exploring a cryptocurrency trading platform that would  ",https://thenextweb.com/hardfork/2019/11/19/canadian-bank-quashes-rumors-cryptocurrency-exchange/,2019-11-19T11:28:24Z,"The Royal Bank of Canada has quashed rumors that its creating a cryptocurrency exchange or platform;Last week, a local Canadian news outlet The Logic reported that The Royal Bank of Canada (RBC) was exploring a cryptocurrency trading platform that would let   [+1354 chars]"
CNN,NaN,Protesters attempt to flee Hong Kong university,Police have called on protesters to resign after they occupied the campus of Hong Kong Polytechnic University. CNN's Anna Coren reports.,https://www.cnn.com/videos/world/2019/11/20/hong-kong-polytechnic-university-protesters-coren-pkg-vpx.cnn,2019-11-20T21:46:00Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
The New York Times,Luis Ferr -Sadurn ,Syracuse University Suspends Fraternity Activities After Racist Incident,"On Saturday, a group of students accosted an African-American student, using a racial slur. It was the latest in a rash of racist and anti-Semitic incidents on campus.",https://www.nytimes.com/2019/11/17/nyregion/racist-fraternity-syracuse-university.html,2019-11-17T16:58:44Z,"Syracuse University suspended all social activities at fraternities for the rest of the year on Sunday, following a string of racist and anti-Semitic incidents that have riled students on campus, prompting protests, boycotts and sit-ins.;Several times this m  [+923 chars]"
The New York Times,Jillian Rayfield and Hiroko Masuike,"Ukraine, Syracuse University, Fred Rogers: Your Tuesday Evening Briefing",Here s what you need to know at the end of the day.,https://www.nytimes.com/2019/11/19/briefing/ukraine-syracuse-university-fred-rogers.html,2019-11-19T23:11:01Z,"1. I couldnt believe what I was hearing.;On the opening day of a packed week of impeachment testimony, two White House aides who were on the July 25 call between President Trump and Ukraines president challenged Mr. Trumps description of the conversation as   [+380 chars]"
TechCrunch,Darrell Etherington,The first U.S. clinical trial of using an in-brain chip to fight opioid addiction is now underway,"Opioid addiction is easily one of the top widespread healthcare issues facing the U.S., and research indicates we re nowhere near achieving any kind of significant mitigating solution. But a team of medical researchers working at the West Virginia University  ",http://techcrunch.com/2019/11/05/the-first-u-s-clinical-trial-of-using-an-in-brain-chip-to-fight-opioid-addiction-is-now-underway/,2019-11-05T16:29:46Z,"Opioid addiction is easily one of the top widespread healthcare issues facing the U.S., and research indicates we re nowhere near achieving any kind of significant mitigating solution. But a team of medical researchers working at the West Virginia University   [+1994 chars]"
TechCrunch,Zack Whittaker,New 5G flaws can track phone locations and spoof emergency alerts,"5G is faster and more secure than 4G. But new research shows it also has vulnerabilities that could put phone users at risk. Security researchers at Purdue University and the University of Iowa have found close to a dozen vulnerabilities, which they say can b ",http://techcrunch.com/2019/11/12/5g-flaws-locations-spoof-alerts/,2019-11-12T16:30:14Z,"5G is faster and more secure than 4G. But new research shows it also has vulnerabilities that could put phone users at risk.;Security researchers at Purdue University and the University of Iowa have found close to a dozen vulnerabilities, which they say can   [+3311 chars]"
Lifehacker.com,Brendan Hesse,How to Protect Your Smart Speaker From a Laser Attack,"I love a good scientific mystery stuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from ",https://lifehacker.com/how-to-protect-your-smart-speaker-from-a-laser-attack-1839642064,2019-11-05T22:00:00Z,"I love a good scientific mysterystuff like quantum weirdness, dark matter and dark energy, strange gravitational behavior, or even why smart speakers respond to light waves as if they were sound. That last one was the topic of a recently published paper from   [+3607 chars]"
CNN,"Julia Jones, CNN",Penn State investigates new allegations against Jerry Sandusky,"Penn State University is investigating a new allegation of abuse by convicted child molester and former assistant football coach Jerry Sandusky, a university spokesperson told CNN Thursday.",https://www.cnn.com/2019/10/31/us/sandusky-new-allegation/index.html,2019-10-31T21:13:28Z,"(CNN)Penn State University is investigating a new allegation of abuse by convicted child molester and former assistant football coach Jerry Sandusky, a university spokesperson told CNN Thursday. ;Wyatt DuBois said an incident report was filed on Tuesday with  [+1982 chars]"
The New York Times,Derrick Bryson Taylor,Missing Clark Atlanta University Student Is Found Dead,"Alexis Crawford was reported missing on Nov. 1, just days after she filed a sexual assault report against her roommate s boyfriend, officials said.",https://www.nytimes.com/2019/11/09/us/Alexis-Crawford-Clark-Atlanta.html,2019-11-09T16:59:13Z,"Late on Nov. 1, Ms. Crawford was reported missing by her mother and two sisters, who all said they last communicated with her on Oct. 30.;Ms. Jones was also interviewed by investigators. She was not on speaking terms with Ms. Crawford because of a separate u  [+769 chars]"
BBC News,https://www.facebook.com/bbcnews,San Diego State University suspends fraternities after student dies,San Diego State University suspends 14 fraternities after 19-year-old Dylan Hernandez's death.,https://www.bbc.co.uk/news/world-us-canada-50388074,2019-11-12T12:53:39Z,"Image copyrightGoFundMeImage caption; The death of Dylan Hernandez was confirmed on Monday evening;San Diego State University has suspended 14 fraternities following the death of a 19-year-old student who had allegedly attended a fraternity event.;Dylan He  [+2297 chars]"
The New York Times,Aaron Randle,"Racial Slurs, and 15 Days That Shook Syracuse",How a protest by students of color at Syracuse University   #NotAgainSU   electrified the campus and gained national attention.,https://www.nytimes.com/2019/11/27/nyregion/syracuse-university-racism.html,2019-11-27T10:00:31Z,"White fraternity members approached on campus declined to comment on the protests. The Syracuse Intrafraternity Council said it would improve education programs on issues surrounding racism, implicit bias and sexual assault.;The Syracuse University community  [+1432 chars]"
The New York Times,Kerry O Brien,Burning Pianos and Whispering Rivers: A Composer s Journey,"Annea Lockwood, influenced by ecofeminism, will be celebrated at 80 with a Composer Portrait concert at Columbia University.",https://www.nytimes.com/2019/11/08/arts/music/annea-lockwood-miller-theater.html,2019-11-08T17:31:42Z,"Ive always thought of rivers as alive, as live phenomena, she said by phone from her current home, in Westchester County, N.Y. It became very clear to me that rivers create their sound by the way they interact with the materials in their banks through frictio  [+1280 chars]"
CNN,"Lauren M. Johnson, CNN","Alex Trebek to 'round up' Ottawa University donation, giving his alma mater a cool $10 million","Ottawa University will take donations for $10 million, Alex.",https://www.cnn.com/2019/11/14/entertainment/alex-trebek-10m-donation-trnd/index.html,2019-11-14T21:45:13Z,NaN
The New York Times,Mike Ives,Your Wednesday Briefing,"Gordon Sondland, Syracuse University, Grammys: Here's what you need to know.",https://www.nytimes.com/2019/11/20/briefing/gordon-sondland-syracuse-university-grammys.html,2019-11-20T10:34:19Z,"In the mid-1950s, the start of the silver age, superheroes rebounded, bolstered by a new Flash (Barry Allen, a forensic scientist), a new Hawkman (Katar Hol, an alien police detective) and others.;A twist came in 1961s Flash No. 123, by Gardner Fox and Carmi  [+927 chars]"
BBC News,https://www.facebook.com/bbcnews,China facial recognition: Law professor sues wildlife park,"A university professor is suing a wildlife park for introducing facial recognition, in a landmark case.",https://www.bbc.co.uk/news/world-asia-china-50324342,2019-11-08T09:41:28Z,"Image copyrightAFPImage caption; Facial recognition has seen extensive rollout in China;A university professor is suing a wildlife park for enforcing facial recognition, in one of the first significant legal challenges to China's rapidly growing use of the   [+6820 chars]"
The New York Times,Mihir Zaveri,14 San Diego State University Fraternities Are Suspended Amid Inquiry Into Student s Death,"The circumstances surrounding the 19-year-old s death were not immediately released, but the authorities said they were looking into  possible misconduct  at a fraternity.",https://www.nytimes.com/2019/11/12/us/san-diego-sdsu-fraternity-death.html,2019-11-12T05:24:09Z,"The suspension, which was imposed on Friday, is a heavier penalty, essentially a cease and desist, the university said. The fraternities cannot hold activities, participate in university activities or recruit new members pending external review, the universit  [+1104 chars]"
The New York Times,Katie Rogers,"On the Scoreboard: The Home Team, the Visitors and Trump","The president s visit to the University of Alabama, in the thick of an impeachment inquiry, was not without the usual controversy over whether he d be booed or not.",https://www.nytimes.com/2019/11/09/us/politics/trump-football-alabama.html,2019-11-09T22:05:06Z,"Theyre ruining the game, Mr. Trump told a rally crowd in Alabama in 2017, describing the players protests as a total disrespect of our heritage, and urging team owners to fire them.;Even in the White House, professional sports has never been far away. Mr. Tr  [+2500 chars]"
The New York Times,Neil Vigdor,Yale Women s Soccer Coach Leaves School Amid Allegations of Sexual Misconduct,The accusations against Brendan Faherty stem from when he coached at the University of New Haven a decade ago.,https://www.nytimes.com/2019/11/21/sports/brendan-faherty-yale-womens-soccer-coach.html,2019-11-22T03:52:00Z,"We fully support the womens soccer team; I am meeting with them to offer resources during this difficult time and I look forward to charting a new path forward together, Ms. Chun said. We know change is hard, but also know the strength and resiliency of our w  [+1769 chars]"
The New York Times,Nicholas Bogel-Burroughs and Hannah Phillips,He Invited Donald Trump Jr. to Campus. Now He s Facing Impeachment.,The student body president of the University of Florida is under fire for using student fees to host one of President Trump s sons.,https://www.nytimes.com/2019/11/13/us/university-florida-trump.html,2019-11-14T00:19:33Z,"He said he had attended the talk and never viewed it as a campaign event. The drive to oust Mr. Murphy, he said, showed that the opposition party would look for anything to remove the elected president.;I think that they have no cigar in both cases, he said.  [+1537 chars]"
The New York Times,Nicholas Bogel-Burroughs,"Our Professor s Views Are Vile, University Says. But We Can t Fire Him.",A provost at Indiana University has earned praise for harshly condemning a professor s views while respecting the First Amendment.,https://www.nytimes.com/2019/11/22/us/indiana-university-eric-rasmusen.html,2019-11-22T23:25:10Z,"On campus on Friday, students were still talking about the controversy, even as many packed up for a week of vacation that runs through Thanksgiving. Selena Drake, a senior studying law and public policy, said she understood that speech needed to be protected  [+2125 chars]"
BBC News,https://www.facebook.com/bbcnews,Hong Kong protests: Police officer wounded in leg by arrow,Police and anti-government protesters are involved in renewed clashes near a university campus.,https://www.bbc.co.uk/news/world-asia-china-50452277,2019-11-17T12:48:20Z,"Image copyrightAFPImage caption; The officer was struck close to the Hong Kong Polytechnic University;A Hong Kong police officer has been wounded in the leg with an arrow as security forces and anti-government protesters engaged in renewed clashes.;Images   [+2823 chars]"
BBC News,https://www.facebook.com/bbcnews,"Election 2019, Your Questions Answered: Where should students vote?","Should students vote at home or at university, and more of your questions answered.",https://www.bbc.co.uk/news/election-2019-50294186,2019-11-07T01:08:26Z,"Image caption; Our question-askers (clockwise from top-left): Charlie Evans, Georgie, Josh Payne and Tom;Polling day is five weeks away, but you can only confront the big question - who do I vote for? - once you have navigated the basics, such as registerin  [+5883 chars]"
The New York Times,Elaine Yu and Steven Lee Myers,Hong Kong Protests: Hundreds Arrested at a University and a Warning from Beijing,About 100 protesters remain holed up inside a besieged college campus.,https://www.nytimes.com/2019/11/18/world/asia/hong-kong-protests.html,2019-11-19T04:47:35Z,"Article 158 of the Basic Law does, however, give the congress the final authority over interpreting whether the Basic Law conflicts with national law. It also calls on Hong Kongs Court of Final Appeal to seek the legislatures interpretation in considering cas  [+1708 chars]"
Lifehacker.com,Nick Douglas,Everything You Like Is Propaganda,"A state-funded Russian propaganda agency is sowing discord in America through schmaltzy feel-good social media accounts, say researchers at Clemson University. These accounts, they claim, share clich d  heartwarming  and  makes you think  content that sometim ",https://lifehacker.com/everything-you-like-is-propaganda-1840055819,2019-11-27T14:00:00Z,"A state-funded Russian propaganda agency is sowing discord in America through schmaltzy feel-good social media accounts, say researchers at Clemson University. These accounts, they claim, share clich d heartwarming and makes you think content that sometimes g  [+4742 chars]"
CNN,Evan Simko-Bednarski,Gymnast at Southern Connecticut State University dies after a fall in training,"Melanie Coleman, a 20-year-old gymnast at Southern Connecticut State University, died Sunday after sustaining an injury while training last Friday.",https://www.cnn.com/2019/11/11/us/southern-connecticut-state-gymnast-dies-after-fall-trnd/index.html,2019-11-12T03:51:55Z,"(CNN)Melanie Coleman, a 20-year-old gymnast at Southern Connecticut State University, died Sunday after sustaining an injury while training last Friday. ;Ken Sweeten, a spokesperson for Southern Connecticut State, confirmed to CNN Monday that Coleman fell du  [+1937 chars]"
CNN,"Rob Frehse and Christina Maxouris, CNN",10 people indicted after investigation into the death of an 18-year-old Ohio University fraternity pledge,"Ten people -- including seven fraternity members -- were indicted after an investigation into the death of an 18-year-old fraternity pledge at Ohio University last year, prosecutors said.",https://www.cnn.com/2019/11/20/us/ohio-university-fraternity-pledge-indictments/index.html,2019-11-20T10:13:45Z,NaN
CNN,"Amir Vera, CNN",Ohio State's Chase Young returns after 2-game suspension and breaks team's single season sacks record,Ohio State University star defensive end Chase Young broke the school's single season sacks record in his return Saturday after a two-game suspension.,https://www.cnn.com/2019/11/23/us/ohio-state-chase-young-returns-trnd/index.html,2019-11-24T01:06:37Z,NaN
CNN,NaN,Late-night host surprises college students with free tuition,"""Tonight Show"" host Jimmy Fallon surprised three University of Texas students by telling them Samsung would be paying for the remainder of their college tuition.",https://www.cnn.com/videos/business/2019/11/08/jimmy-fallon-college-tuition-surprise-dig-orig-jk.cnn,2019-11-09T11:35:22Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
CNN,NaN,Football players suspended from team for sharing racist image,"At least four students at the University of Wisconsin-Eau Claire have been suspended from the football team, after they shared an image of Klansmen burning a cross.",https://www.cnn.com/videos/us/2019/11/21/football-players-suspended-uwec-wisconsin-racist-image-kkk-orig-jk.cnn,2019-11-22T06:20:35Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
The New York Times,Billy Witz,"Beer, Here: Merchandising of College Sports Leads to Team-Branded Ales","The University of Louisiana at Lafayette and more than 20 universities license their own brands of beer. Those deals seem like no-brainers, but they come as the N.C.A.A. grapples with letting athletes strike their own.",https://www.nytimes.com/2019/11/01/sports/ncaafootball/beer-here-the-merchandising-of-college-sports-leads-to-team-branded-ales.html,2019-11-02T04:20:27Z,"Early in the summer of 2015, Knott received a call from a local beer distributor saying that Louisiana-Lafayette was interested in branding its own beer and was looking for someone to make it. So Knott arranged four samples for Tarver and several others to ta  [+1267 chars]"
Gizmodo.com,George Dvorsky,Stingray-Shaped Probes Could Explore Venus s Atmosphere,"Researchers with the University at Buffalo are working on a conceptual design that would see a morphing aircraft explore the skies above Venus, including its elusive  dark side.  Read more...",https://gizmodo.com/stingray-shaped-probes-could-explore-venus-s-atmosphere-1839782699,2019-11-11T21:40:00Z,"Researchers with the University at Buffalo are working on a conceptual design that would see a morphing aircraft explore the skies above Venus, including its elusive dark side.;Its called BREEZE, or Bio-inspired Ray for Extreme Environments and Zonal Explora  [+3900 chars]"
TechCrunch,Jonathan Shieber,Coda Biotherapeutics is developing a cure for pain,"If the researchers, executives and investors behind Coda Biotherapeutics have their way, one day soon there really could be a cure for pain. Co-founded by researchers Joseph Glorioso, from the University of Pittsburgh s microbiology and molecular genetics dep ",http://techcrunch.com/2019/11/05/coda-biotherapeutics-is-developing-a-cure-for-pain/,2019-11-05T14:29:50Z,"If the researchers, executives and investors behind Coda Biotherapeutics have their way, one day soon there really could be a cure for pain.;Co-founded by researchers Joseph Glorioso, from the University of Pittsburgh s microbiology and molecular genetics de  [+4366 chars]"
TechCrunch,Darrell Etherington,Stingray-inspired spacecraft could eventually probe the atmosphere of Venus,"NASA s next Venus probe could be an atmosphere-skimming robotic stingray designed by the University of Buffalo. UB s CRASH Lab, which is the institution s Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early ",http://techcrunch.com/2019/11/11/stingray-inspired-spacecraft-could-eventually-probe-the-atmosphere-of-venus/,2019-11-11T16:19:56Z,"NASA s next Venus probe could be an atmosphere-skimming robotic stingray designed by the University of Buffalo. UB s CRASH Lab, which is the institution s Crashworthinesss for Aerospace Structures and Hybrids laboratory, has been selected by NASA to get early  [+1029 chars]"
Mashable,Saavon Smalls,This computer can write Shakespearean prose   Future Blink,"The Columbia University project creates poetic captions for paintings. The computer's program combines English poems, classic art, and Shakespearean-styled writing. Read more... More about Tech, Mashable Video, English, Play, and Shakespeare",https://mashable.com/video/computer-shakespearean-prose-painting-caption/,2019-11-08T21:07:16Z,NaN
